,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
333,Raj Prasad Upadhyay,SADAR,BJP,0,Post Graduate,70224026,0
334,Bamba Lal,SAFIPUR (SC),BJP,0,Graduate,195464989,52582973
335,Hriday Narayan Singh Patel,SAGRI,SP,0,Post Graduate,164616030,25758000
336,Pradeep Shukla,SAHAJANWA,BJP,0,Graduate,92741315,155104
337,Ashu Malik,SAHARANPUR,SP,0,10th Pass,29848836,6540841
338,Rajeev Gumber,SAHARANPUR NAGAR,BJP,4,12th Pass,24057257,0
339,Brajesh Yadav,SAHASWAN,SP,1,12th Pass,80825637,1274446
340,Sunil Kumar Sharma,SAHIBABAD,BJP,0,Post Graduate,13488067,1552500
341,Ankit Bharti,SAIDPUR (SC),SP,0,Graduate,25774732,10797334
342,Sushil Singh,SAIYADRAJA,BJP,1,Graduate,219793498,18928899
343,Prabhu Narayan Yadav,SAKALDIHA,SP,6,Graduate,14290363,1964501
344,Bijaylaxmi Gautam,SALEMPUR (SC),BJP,1,Post Graduate,8800994,0
345,Ashok Kumar,SALON (SC),BJP,0,Post Graduate,6586548,500000
346,Iqbal Mehmood,SAMBHAL,SP,0,Graduate,102346198,140686
347,Prabhash Kumar,SANDI (SC),BJP,0,10th Pass,27400000,129000
348,Alka Singh,SANDILA,BJP,0,Post Graduate,7959008,300000
349,Atul Pradhan,SARDHANA,SP,38,Graduate,29432751,0
350,Devendra Pratap Singh,SARENI,SP,0,Post Graduate,26598082,1542811
351,Rajeshwar Singh,SAROJINI NAGAR,BJP,0,Doctorate,102999489,0
352,Madhavendra Pratap Singh,SAWAYAZPUR,BJP,0,Graduate,114863189,2583802
353,Neel Ratan Singh,SEVAPURI,BJP,2,12th Pass,19373958,0
354,Gyan Tiwari,SEVATA,BJP,3,Graduate,57928114,3576617
355,Rajni Tiwari,SHAHABAD,BJP,0,Graduate,28270977,918240
356,Ramesh,SHAHGANJ,Nirbal Indian Shoshit Hamara Aam Dal,3,Graduate,72139456,43548559
357,Suresh Kumar Khanna,SHAHJAHANPUR,BJP,0,Graduate Professional,17887747,60000
358,Persann Kumar,SHAMLI,RLD,0,Graduate,183108122,0
359,Himanshu Yadav,SHEKHUPUR,SP,0,12th Pass,27943989,0
360,Anil Kumar,SHIKARPUR,BJP,2,12th Pass,147624170,7500000
361,Mukesh Verma,SHIKOHABAD,SP,0,Post Graduate,36316362,1052297
362,Anil Rajbhar,SHIVPUR,BJP,2,Post Graduate,20107180,0
363,Vinay Verma,SHOHRATGARH,Apna Dal (Soneylal),4,12th Pass,1443877,0
364,Ram Feran,SHRAWASTI,BJP,0,10th Pass,96850000,10000000
365,Manish Rawat,SIDHAULI (SC),BJP,5,Post Graduate,41161881,15147528
366,Ziyauddin Rizvi,SIKANDERPUR,SP,3,Graduate,34044557,1155000
367,Ajit Singh Pal,SIKANDRA,BJP,0,Post Graduate,28031251,718462
368,Birendra Singh Rana,SIKANDRA RAO,BJP,0,12th Pass,113398881,2606928
369,Lakshmi Raj,SIKANDRABAD,BJP,2,Post Graduate,59192901,5582157
370,Dr. Pallavi Patel,SIRATHU,SP,0,Graduate,33522994,887000
371,Sarvesh Singh,SIRSAGANJ,SP,0,12th Pass,28652169,4530874
372,Haji Irfan Solanki,SISHAMAU,SP,3,12th Pass,93889400,0
373,Premsagar Patel,SISWA,BJP,0,Graduate,32680386,1500000
374,Rakesh Rathour,SITAPUR,BJP,0,8th Pass,8896447,2501000
375,Ghulam Mohammad,SIWALKHAS,RLD,3,Post Graduate,24550000,9270116
376,Geeta Shastri (Pasi),SORAON (SC),SP,0,12th Pass,20701440,1000000
377,Manju Tyagi,SRI NAGAR (SC),BJP,0,Post Graduate,30724344,0
378,Mohammad Abdullah Azam Khan,SUAR,SP,43,Post Graduate,32867565,0
379,Vinod Singh,SULTANPUR,BJP,2,Graduate Professional,166770272,0
380,Devendra Singh Lodhi,SYANA,BJP,0,Graduate Professional,38000708,2849339
381,Asim Kumar,TAMKUHI RAJ,BJP,1,Post Graduate,271951887,50743717
382,Ram Murti Verma,TANDA,SP,3,12th Pass,59904337,12046498
383,Prem Nrayan Pandey,TARABGANJ,BJP,1,12th Pass,16457591,1226996
384,Navab Jan,THAKURDWARA,SP,3,8th Pass,71576525,13954320
385,Ashraf Ali Khan,THANA BHAWAN,RLD,1,12th Pass,29896611,1164910
386,Salona Kushwaha,TILHAR,BJP,2,Post Graduate,124882342,24615752
387,Mayankeshwar Sharan Singh,TILOI,BJP,3,Graduate,580703047,2755204
388,Ramkesh Nishad,TINDWARI,BJP,1,Graduate Professional,9538916,0
389,Kailash Rajput,TIRWA,BJP,1,Graduate Professional,36141099,4580421
390,Kailash Nath,TULSIPUR,BJP,0,Graduate Professional,18257290,419657
391,Prem Pal Singh Dhangar,TUNDLA (SC),BJP,0,Graduate,13326400,330000
392,Manoj Kumar Pandey,UNCHAHAR,SP,2,Graduate,162648132,19644235
393,Pankaj Gupta,UNNAO,BJP,6,Graduate,60264430,6901683
394,Rampratap Verma Alias Shashikant Verma,UTRAULA,BJP,0,Post Graduate,35980551,0
395,Saurabh Srivastava,VARANASI CANTT.,BJP,3,Graduate,128611030,5279022
396,Ravindra Jaiswal,VARANASI NORTH,BJP,3,Post Graduate,269871362,7054250
397,Dr. Neelkanth Tiwari,VARANASI SOUTH,BJP,1,Doctorate,16285857,0
398,Jeet Lal,VISHWANATH GANJ,Apna Dal (Soneylal),0,Graduate,6488660,110000
399,Jagdish Narayan,ZAFRABAD,Suheldev Bharatiya Samaj Party,0,Graduate Professional,49903677,1194124
400,Om Prakash Rajbhar,ZAHOORABAD,Suheldev Bharatiya Samaj Party,2,Graduate,26131359,157510
401,Gaurav Kumar,ZAIDPUR (SC),SP,3,Graduate,3154542,3529137
402,Om Prakash,ZAMANIA,SP,6,Post Graduate,55002822,0
